name,traffic_score,rating,category,state
Curves Wangsa Maju,57.0,4.9,Gyms & Studios,Kuala Lumpur
Kelantan Golf Club,73.57,4.1,Golf & Driving Ranges,Kelantan
TCE Tackles Sdn Bhd,63.86,4.3,Fishing & Hunting,Selangor
WELLFITNESS & GYMNASIUM PORT DICKSON,44.57,4.1,Gyms & Studios,Negeri Sembilan
Younique Sports Semenyih,33.86,4.1,Recreation Centers,Selangor
Gua Damai Extreme Park,32.71,4.5,Gyms & Studios,Selangor
Northern Iron Gym & Fitness,47.33,4.4,Gyms & Studios,Penang
Stadium Futsal POLO,26.57,4.3,Ball Sports,Pahang
Amazonian Fitness,36.14,4.9,Gyms & Studios,Other
TCE Tackles Sdn Bhd,61.71,3.8,Fishing & Hunting,Perak
Hwa Tat Tackle Sdn. Bhd.,62.67,4.4,Fishing & Hunting,Other
Celebrity Fitness Gym - Mid Valley,41.29,3.9,Gyms & Studios,Kuala Lumpur
Impian Sports,44.43,4.2,Recreation Centers,Other
Uptown Sports,31.0,4.3,Recreation Centers,Selangor
TCE Tackles Sdn Bhd,69.0,4.4,Fishing & Hunting,Sabah
TCE Tackles Sdn Bhd,61.86,4.4,Fishing & Hunting,Sarawak
Kelab Golf Perkhidmatan Awam,66.71,4.1,Golf & Driving Ranges,Kuala Lumpur
Fun X World,54.43,4.7,Recreation Centers,Selangor
Cobra Gym Express Seremban 2 24 Hour Fitness,23.0,4.0,Gyms & Studios,Negeri Sembilan
PJS Sports Centre (by xivo.sports),47.14,4.1,Recreation Centers,Selangor
RKS SPORTS CENTRE,62.14,4.0,Recreation Centers,Selangor
(KPLJ) Lancong Jaya Fishing Pond,31.0,4.7,Fishing & Hunting,Selangor
Project Rock Climbing Gym,35.29,4.7,Gyms & Studios,Other
SPA Manja,47.43,4.1,Saunas & Spas,Johor
Celebrity Fitness Gym - Palm Mall,40.57,3.8,Gyms & Studios,Negeri Sembilan
7 Fitness Sports Centre,60.43,4.0,Gyms & Studios,Negeri Sembilan
Badminton Hall Sri Amar (Sri Amar JL Sports Centre),42.43,4.3,Other Outdoor & Lawn Sports,Johor
TCE Tackles Sdn Bhd,67.0,4.0,Fishing & Hunting,Johor
SKT Golf Studio,26.17,4.3,Golf & Driving Ranges,Selangor
Everyday Sports,35.71,4.3,Ball Sports,Johor
W Traditional Thai Therapeutic Wellness - Mont Kiara / 滿家樂,68.43,4.8,Saunas & Spas,Kuala Lumpur
TCE Tackles Sdn Bhd,63.29,4.2,Fishing & Hunting,Perak
TCE Tackles Sdn Bhd,57.43,4.0,Fishing & Hunting,Selangor
Dewan Badminton MMA,36.17,4.3,Other Outdoor & Lawn Sports,Selangor
TCE Tackles Sdn Bhd,56.71,3.7,Fishing & Hunting,Johor
RedLine Gym Johor Bahru,39.14,4.7,Gyms & Studios,Johor
Sport Planet Futsal Cheng,35.86,4.1,Recreation Centers,Melaka
Selangor Shooting Association,60.67,4.6,Shooting & Gun Ranges,Selangor
Third Space Pilates - Mont Kiara,34.71,4.9,Gyms & Studios,Kuala Lumpur
1 One Fitness Setia Alam,35.29,4.9,Gyms & Studios,Selangor
Royal Seri Menanti Golf & Country Club,50.71,4.0,Golf & Driving Ranges,Negeri Sembilan
