name,lat,lon,category,traffic_score,rating,state
Anytime Fitness @Menara UOA Bangsar,3.12810473,101.67609861,Gyms & Studios,34.86,4.2,Kuala Lumpur
Permaipura Golf & Country Club,5.73018233,100.52564248,Golf & Driving Ranges,61.14,4.4,Kedah
TCE Tackles Sdn Bhd,3.31783096,101.57544958,Fishing & Hunting,72.29,4.4,Selangor
MUAY THAI BULOH GADING,3.22495795,101.57075389,Gyms & Studios,55.29,4.6,Selangor
TCE Tackles Sdn Bhd,3.67409854,100.98004121,Fishing & Hunting,60.0,4.0,Selangor
Workout Holic Gym,3.09724655,101.55321994,Gyms & Studios,52.43,4.3,Selangor
Penang Golf Resort,5.52380812,100.44348217,Golf & Driving Ranges,41.29,3.9,Penang
Winner Court,1.51188845,110.32860071,Recreation Centers,47.14,3.9,Sarawak
GT Sports & Recreation Club,4.62362252,101.12549763,Recreation Centers,39.43,4.6,Perak
Aspire @ Access World,3.11719993,101.62612224,Gyms & Studios,49.43,5.0,Selangor
Savage Gears PuchongGym&Studio,3.02248121,101.61360048,Gyms & Studios,35.29,4.4,Selangor
Sport Line Tackle Shop Section 15 Shah Alam,3.06403258,101.53551932,Fishing & Hunting,49.29,4.8,Selangor
U Five Sports center,1.47865854,103.87548755,Recreation Centers,44.29,4.0,Johor
TCE Tackles Sdn Bhd,2.32235441,111.83605512,Fishing & Hunting,71.71,4.1,Sarawak
Silver State Table Tennis Centre,4.63833082,101.08840327,Gyms & Studios,66.29,4.4,Perak
Dewan Serbaguna Taman Setiawangsa,3.18167783,101.74226574,Recreation Centers,49.86,4.3,Kuala Lumpur
Curves Wangsa Maju,3.19801476,101.74298941,Gyms & Studios,57.0,4.9,Kuala Lumpur
Kelantan Golf Club,6.15408752,102.30738473,Golf & Driving Ranges,73.57,4.1,Kelantan
TCE Tackles Sdn Bhd,3.20320496,101.48322131,Fishing & Hunting,63.86,4.3,Selangor
WELLFITNESS & GYMNASIUM PORT DICKSON,2.54755269,101.80013056,Gyms & Studios,44.57,4.1,Negeri Sembilan
Younique Sports Semenyih,2.93430219,101.83004152,Recreation Centers,33.86,4.1,Selangor
Gua Damai Extreme Park,3.24784156,101.68537757,Gyms & Studios,32.71,4.5,Selangor
Northern Iron Gym & Fitness,5.17515161,100.47408219,Gyms & Studios,47.33,4.4,Penang
Stadium Futsal POLO,3.83144616,103.30359137,Ball Sports,26.57,4.3,Pahang
Amazonian Fitness,5.33310037,100.2914879,Gyms & Studios,36.14,4.9,Other
TCE Tackles Sdn Bhd,4.82598887,100.71831487,Fishing & Hunting,61.71,3.8,Perak
Hwa Tat Tackle Sdn. Bhd.,5.33044527,100.47607845,Fishing & Hunting,62.67,4.4,Other
Celebrity Fitness Gym - Mid Valley,3.11869252,101.67545159,Gyms & Studios,41.29,3.9,Kuala Lumpur
Impian Sports,1.54677193,103.68965341,Recreation Centers,44.43,4.2,Other
Uptown Sports,2.97463776,101.74873489,Recreation Centers,31.0,4.3,Selangor
TCE Tackles Sdn Bhd,5.85625032,118.07179297,Fishing & Hunting,69.0,4.4,Sabah
TCE Tackles Sdn Bhd,1.4561844,110.4466565,Fishing & Hunting,61.86,4.4,Sarawak
Kelab Golf Perkhidmatan Awam,3.13117971,101.6413503,Golf & Driving Ranges,66.71,4.1,Kuala Lumpur
Fun X World,3.05995413,101.59097924,Recreation Centers,54.43,4.7,Selangor
Cobra Gym Express Seremban 2 24 Hour Fitness,2.69433451,101.90040477,Gyms & Studios,23.0,4.0,Negeri Sembilan
PJS Sports Centre (by xivo.sports),3.07314773,101.61668762,Recreation Centers,47.14,4.1,Selangor
RKS SPORTS CENTRE,3.10992537,101.58396112,Recreation Centers,62.14,4.0,Selangor
(KPLJ) Lancong Jaya Fishing Pond,3.00438884,101.54962281,Fishing & Hunting,31.0,4.7,Selangor
Project Rock Climbing Gym,5.23294575,100.43732156,Gyms & Studios,35.29,4.7,Other
