category,rating,name,state
Gyms & Studios,4.4,Silver State Table Tennis Centre,Perak
Recreation Centers,4.3,Dewan Serbaguna Taman Setiawangsa,Kuala Lumpur
Gyms & Studios,4.9,Curves Wangsa Maju,Kuala Lumpur
Golf & Driving Ranges,4.1,Kelantan Golf Club,Kelantan
Fishing & Hunting,4.3,TCE Tackles Sdn Bhd,Selangor
Gyms & Studios,4.1,WELLFITNESS & GYMNASIUM PORT DICKSON,Negeri Sembilan
Recreation Centers,4.1,Younique Sports Semenyih,Selangor
Gyms & Studios,4.5,Gua Damai Extreme Park,Selangor
Gyms & Studios,4.4,Northern Iron Gym & Fitness,Penang
Ball Sports,4.3,Stadium Futsal POLO,Pahang
Gyms & Studios,4.9,Amazonian Fitness,Other
Fishing & Hunting,3.8,TCE Tackles Sdn Bhd,Perak
Fishing & Hunting,4.4,Hwa Tat Tackle Sdn. Bhd.,Other
Gyms & Studios,3.9,Celebrity Fitness Gym - Mid Valley,Kuala Lumpur
Recreation Centers,4.2,Impian Sports,Other
Recreation Centers,4.3,Uptown Sports,Selangor
Fishing & Hunting,4.4,TCE Tackles Sdn Bhd,Sabah
Fishing & Hunting,4.4,TCE Tackles Sdn Bhd,Sarawak
Golf & Driving Ranges,4.1,Kelab Golf Perkhidmatan Awam,Kuala Lumpur
Recreation Centers,4.7,Fun X World,Selangor
Gyms & Studios,4.0,Cobra Gym Express Seremban 2 24 Hour Fitness,Negeri Sembilan
Recreation Centers,4.1,PJS Sports Centre (by xivo.sports),Selangor
Recreation Centers,4.0,RKS SPORTS CENTRE,Selangor
Fishing & Hunting,4.7,(KPLJ) Lancong Jaya Fishing Pond,Selangor
Gyms & Studios,4.7,Project Rock Climbing Gym,Other
Saunas & Spas,4.1,SPA Manja,Johor
Gyms & Studios,3.8,Celebrity Fitness Gym - Palm Mall,Negeri Sembilan
Gyms & Studios,4.0,7 Fitness Sports Centre,Negeri Sembilan
Other Outdoor & Lawn Sports,4.3,Badminton Hall Sri Amar (Sri Amar JL Sports Centre),Johor
Fishing & Hunting,4.0,TCE Tackles Sdn Bhd,Johor
Golf & Driving Ranges,4.3,SKT Golf Studio,Selangor
Ball Sports,4.3,Everyday Sports,Johor
Saunas & Spas,4.8,W Traditional Thai Therapeutic Wellness - Mont Kiara / 滿家樂,Kuala Lumpur
Fishing & Hunting,4.2,TCE Tackles Sdn Bhd,Perak
Fishing & Hunting,4.0,TCE Tackles Sdn Bhd,Selangor
Other Outdoor & Lawn Sports,4.3,Dewan Badminton MMA,Selangor
Fishing & Hunting,3.7,TCE Tackles Sdn Bhd,Johor
Gyms & Studios,4.7,RedLine Gym Johor Bahru,Johor
Recreation Centers,4.1,Sport Planet Futsal Cheng,Melaka
Shooting & Gun Ranges,4.6,Selangor Shooting Association,Selangor
Gyms & Studios,4.9,Third Space Pilates - Mont Kiara,Kuala Lumpur
Gyms & Studios,4.9,1 One Fitness Setia Alam,Selangor
Golf & Driving Ranges,4.0,Royal Seri Menanti Golf & Country Club,Negeri Sembilan
Fishing & Hunting,4.0,TCE Tackles Sdn Bhd,Perak
Fishing & Hunting,4.4,TCE Tackles Sdn Bhd,Sabah
Gyms & Studios,4.6,TOP GYM FITNESS (TMN DESA CEMERLANG) 小巨人健身室,Johor
Gyms & Studios,4.9,Seven Star Gym Pulau Tikus,Other
Gyms & Studios,4.8,24-Hour Gym: Anytime Fitness Tanjung Tokong George Town Penang,Penang
Gyms & Studios,5.0,Jabfit & TCM Rehab,Penang
Gyms & Studios,4.8,EAST SOUND Fitness Center Club,Other
Gyms & Studios,4.4,Anytime Fitness Platinum Arena,Kuala Lumpur
Gyms & Studios,5.0,Train by Blackbox,Selangor
Saunas & Spas,5.0,Kayxi Beauty Spa and Makeup,Kelantan
Gyms & Studios,3.9,Celebrity Fitness Gym - Queensbay Mall,Other
Martial Arts & Dojos,4.9,Hikari Martial Arts Gym | Ampang Branch,Kuala Lumpur
Martial Arts & Dojos,5.0,FEBA Fight Club,Selangor
Martial Arts & Dojos,4.4,Merican Muay Thai Gym - Damansara Jaya,Selangor
Martial Arts & Dojos,5.0,MMA Sports Hub,Sarawak
